"","site_name","Latitude_manual","Longitude_manual","lew_go","yrk_go","lew_go_nb","yrk_go_nb"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0383533522908974,0.0250211935354057,0.0206053874822854,0.0207489907309519
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0172660289262389,0.0228732454401688,0.0149328528761671,0.010449988663593
"3","CC_VA_2022-7-11",37.616617,-75.663933,0.00862889817076255,0.0211417670085684,0.00758607754215766,0.00575808377796692
"4","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0138887045084861,0.0241843102648785,0.0150880272411648,0.0102554262700903
"5","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0106553504281766,0.00930579675766019,0.00776785139072873,0.0027554552924605
"6","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.0153698704134998,0.0210070532397375,0.0142059478081735,0.010793192162763
"7","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0408198310257712,0.028369416864948,0.0215769445643945,0.015390087640424
"8","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0223436487688562,0.0259803714649237,0.0202752304849871,0.0140159786908219
"9","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.00885096432915564,0.0183519503620842,0.007203557891972,0.00446339816578298
"10","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0121093389283547,0.0138500720044673,0.0117903447822265,0.00650124962803719
"11","GalBay_TX_2022-6-2",29.5475,-94.90361,0.0111812546616835,0.0177998897111547,0.0098209644519614,0.00757415117941255
"12","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0176921301057835,0.0206993698639144,0.014586415988812,0.00839661914832263
"13","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.0119749711434189,0.0131827994820034,0.00701650556834483,0.00658697360936383
"14","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0218063161707135,0.0256958428929966,0.0198267343607022,0.0137184297508593
"15","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0111597876895913,0.0217551894521861,0.0109299571373366,0.00836750337568601
"16","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00871160299857363,0.017901584460112,0.00288404106768426,0.00643278910352528
"17","Mer_GA_2022-7-26",31.453512,-81.363169,0.0177242613483572,0.0199384694592898,0.0159737604197349,0.00996333185985672
"18","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.010408672470939,0.0189515743556806,0.00970630556810442,0.00897674858599782
"19","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0183564567123466,0.0164528490176543,0.0190629268989988,0.0113255700478346
"20","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0303875011741187,0.0170054018356294,0.0250737818270124,0.0150133258068772
"21","SaLa_GA_2022-10-5",29.785,-93.91806,0.0182186633068206,0.024038947611169,0.0128508229408296,0.0100215194154441
"22","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0306031680041892,0.0270457921229503,0.0280906618966466,0.0242848449308984
"23","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0174110396228993,0.0221342372202417,0.0162657719811009,0.00983915893122964
"24","SawIs_MA_2022-9-5",42.751733,-70.83657,0.0401809139678689,0.0247923064126034,0.0235616675370251,0.0140432965436765
"25","SkR_GA_2022-6-14",31.98995,-81.02173,0.0139092885429498,0.0227415886232772,0.0130210592824092,0.00863520482979786
"26","TP_TX_2022-6-28",28.6936,-96.2233,0.0158682126996295,0.0243179211760055,0.0154138687558251,0.0114469143275122
"27","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0127328518086888,0.0185588940018438,0.0123134721279728,0.0064106010302369
"28","CB_TX_2022-6-9",28.096,-97.174,0.0250033181529697,0.0361685397935901,0.0261497123730094,0.0204774153266883
"29","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.0554132699179985,0.0317011894434169,0.0467259191116189,0.0326250872086598
"30","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0291260722170409,0.0280610137312973,0.0295995207021142,0.0190113735755944
"31","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.0125990150178622,0.021808915780049,0.0127699457069966,0.00975970890594516
"32","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.032016128446491,0.0251969436349403,0.0184168528953136,0.0144407347159254
"33","WS_CB_VA_2022-10-7",37.063817,-76.562783,0.0336670789956352,0.0058771049578018,0.000191776368828534,0.00154689300748977
