"","site_name","Latitude_manual","Longitude_manual","lew_go","yrk_go"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0369075409604647,0.0213407578089036
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0171980236452146,0.0111675464271223
"3","CC_VA_2022-7-11",37.616617,-75.663933,0.0127968643267105,0.00562673188101477
"4","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0127245938812941,0.0110048380465271
"5","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0131740217314938,0.00319744066907442
"6","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.015270130904116,0.0114000449097434
"7","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0452694336068388,0.0160312729723604
"8","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0221605433759253,0.0148448126164843
"9","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0262960637022908,0.00489309819449958
"10","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0339848020189269,0.00710804776329097
"11","GalBay_TX_2022-6-2",29.5475,-94.90361,0.0119417941673626,0.00816923905222116
"12","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0186559335318851,0.00909195103079385
"13","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.0130526232012257,0.00690717319149428
"14","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0220269341174077,0.0145532160732695
"15","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0115672197341232,0.00899167423056526
"16","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00805868900478402,0.00594808745846312
"17","Mer_GA_2022-7-26",31.453512,-81.363169,0.03349530429837,0.0106979625753534
"18","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0104376899841922,0.00928427635519842
"19","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0236996012589871,0.0122376197478666
"20","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0418910557004388,0.0165324791504748
"21","SaLa_GA_2022-10-5",29.785,-93.91806,0.019367640477606,0.010815233059318
"22","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.032113987411164,0.024781566706324
"23","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0283788049040161,0.0105901241430698
"24","SawIs_MA_2022-9-5",42.751733,-70.83657,0.0431768377803621,0.0152852998430812
"25","SkR_GA_2022-6-14",31.98995,-81.02173,0.0401922356499702,0.00932218735595414
"26","TP_TX_2022-6-28",28.6936,-96.2233,0.0159611476402148,0.0122584089643274
"27","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0322660393126543,0.00699728156600637
"28","CB_TX_2022-6-9",28.096,-97.174,0.0255989875949612,0.0215562149427034
"29","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.069977213783838,0.0354763870516454
"30","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0384404477309471,0.0200024335618949
"31","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.0121428208149634,0.0103800660401529
"32","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.0350706545955199,0.0154825815295279
"33","WS_CB_VA_2022-10-7",37.063817,-76.562783,0.0312796468848336,0.0011606857633304
"34","S1_LOLA",37.9803,-76.4619,0.000283144444595081,0.00271878161592926
"35","S2_DEBY",37.247284,-76.499369,0.0161008502283398,0.000272045675803799
