"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",1,-0.410334009068262,0.0464143609654305,-0.359903752182523,0.0840836105282938,-0.257842261276198,0.0887311900372926,0.168373998998033,0.19382964453387,-0.353083434514577,0.090566371492568,-0.28634678093354,0.174931413278229,-0.204757089836981,0.176474290774069,0.124667911728609,0.118313023939158,FALSE,FALSE,0.705812308668321,0.361512076735501,FALSE,FALSE
"lea","b","sel","Lewisetta",2,-0.440329283614591,0.0312862944774699,-0.352022648120132,0.0916073256423069,-0.242675069436421,0.109154778516566,0.193889878008539,0.102019524554736,-0.552783791825216,0.005087939920159,-0.507017694680488,0.0114499863611471,-0.341261816394968,0.0242706403770022,0.305569920504664,0.224786103189007,FALSE,TRUE,0.705812308668321,0.115060813639121,FALSE,FALSE
"lea","b","sel","Lewisetta",3,-0.584876316257216,0.00268335219189988,-0.383547064369696,0.0642895298585201,-0.265425857196086,0.079740865817891,0.342080305318611,0.15843066786463,-0.65948157256736,0.000455731995541941,-0.659385706553381,0.000456910955506147,-0.470182947033066,0.00190999309861741,0.434915944555918,0.547658796406709,FALSE,TRUE,0.705812308668321,0.0365375703858148,FALSE,TRUE
"lea","b","sel","Lewisetta",4,-0.614324428719594,0.00140465336590289,-0.428206654056578,0.0368380975766224,-0.273009453115974,0.0715054164448744,0.377394503721655,0.21832884097035,-0.591459259722966,0.00233420441367014,-0.772348198114319,9.78289527818115e-06,-0.583936885831389,0.000115814078109336,0.349824055912038,0.703296703296703,FALSE,TRUE,0.705812308668321,0.014824201997995,FALSE,TRUE
"lea","b","sel","YorkRiver",1,-0.086550164591702,0.687589497897258,0.10770842218601,0.61640325682933,0.0834195551187698,0.581847029291278,0.00749093099085069,7.94975753239532e-05,-0.0351491438568954,0.87047713192932,-0.0131351734373183,0.951425982837668,-0.0151671918397763,0.920244901471896,0.00123546231387273,0.00136054421768707,FALSE,FALSE,0.836813705048131,0.934310606298625,FALSE,FALSE
"lea","b","sel","YorkRiver",2,-0.132154647329131,0.538177946945642,0.0183892428122457,0.932033890940699,0.0227507877596645,0.880616409651966,0.0174648508106868,0.00394811054709531,-0.109936323681518,0.609085549358983,-0.118216560935865,0.582210210342314,-0.121337534718211,0.423130558109633,0.0120859952646075,0.0191674153938305,FALSE,FALSE,0.944986073762316,0.62253691308084,FALSE,FALSE
"lea","b","sel","YorkRiver",3,-0.481889484415767,0.0171028794683485,-0.307363058433249,0.144009480991668,-0.295760240875639,0.0508857412163913,0.232217475190494,0.140534262485482,-0.636506377615089,0.000825970078736215,-0.564812457804689,0.00403293756414963,-0.432264967433626,0.00432311122553148,0.405140368744683,0.536875725900116,FALSE,TRUE,0.705812308668321,0.0395255883477164,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.387937779972282,0.0744241551051087,-0.251997788786856,0.257904351842884,-0.231005839565715,0.146497287558392,0.150495721129823,0.0169195229742155,-0.499467487310872,0.0179479091523743,-0.588753298858681,0.00394342519840812,-0.439364047801458,0.00575054088111214,0.249467770880636,0.430512809522158,FALSE,TRUE,0.705812308668321,0.0408927351545752,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",1,-0.211641192847092,0.320816263286506,-0.144486907810502,0.500565893021111,-0.121337534718211,0.423130558109633,0.0447919945097399,0.0328638497652582,-0.233077149673834,0.273049201362548,-0.031524416249564,0.883740672404498,-0.0682523632789935,0.652304137211763,0.0543249577000786,0.0104571774263245,FALSE,FALSE,0.722142819173774,0.780326444515006,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",2,-0.169593011873582,0.428218433782781,-0.070929936561519,0.74189156648298,-0.106170342878434,0.483380001354093,0.0287617896763528,0.000670690811535886,-0.346740089011506,0.0969246314154844,-0.278465676871149,0.187633101907925,-0.204757089836981,0.176474290774069,0.120228689327707,0.0457177426324432,FALSE,FALSE,0.783197976877518,0.361512076735501,FALSE,FALSE
