"","site2","order2","site1","order1","dist"
"1","Lewisetta",9,"W5_NH",7,2.1252
"2","Lewisetta",9,"W3_FL",3,4.1111
"3","Lewisetta",9,"W6_ME",8,4.2396
"4","Lewisetta",9,"YorkRiver",10,1.2384
"5","Lewisetta",9,"W4_VA",4,0.5053
"6","Lewisetta",9,"Lewisetta",9,0
"7","Lewisetta",9,"W1_TX",1,3.6077
"8","Lewisetta",9,"S1_LOLA",5,0.2657
"9","Lewisetta",9,"S2_DEBY",6,1.1115
"10","Lewisetta",9,"W2_LA",2,2.3386
"11","S1_LOLA",5,"W4_VA",4,0.6247
"12","S1_LOLA",5,"W2_LA",2,2.5474
"13","S1_LOLA",5,"Lewisetta",9,0.2657
"14","S1_LOLA",5,"S1_LOLA",5,0
"15","S1_LOLA",5,"YorkRiver",10,1.3159
"16","S1_LOLA",5,"W6_ME",8,4.1976
"17","S1_LOLA",5,"W1_TX",1,3.753
"18","S1_LOLA",5,"S2_DEBY",6,1.1786
"19","S1_LOLA",5,"W3_FL",3,4.2723
"20","S1_LOLA",5,"W5_NH",7,2.0554
"21","S2_DEBY",6,"W4_VA",4,0.613
"22","S2_DEBY",6,"S2_DEBY",6,0
"23","S2_DEBY",6,"YorkRiver",10,0.2361
"24","S2_DEBY",6,"S1_LOLA",5,1.1786
"25","S2_DEBY",6,"W6_ME",8,3.3076
"26","S2_DEBY",6,"W1_TX",1,3.1285
"27","S2_DEBY",6,"Lewisetta",9,1.1115
"28","S2_DEBY",6,"W3_FL",3,3.2116
"29","S2_DEBY",6,"W2_LA",2,2.5826
"30","S2_DEBY",6,"W5_NH",7,1.6703
"31","W1_TX",1,"W6_ME",8,4.6605
"32","W1_TX",1,"W2_LA",2,2.5005
"33","W1_TX",1,"Lewisetta",9,3.6077
"34","W1_TX",1,"S2_DEBY",6,3.1285
"35","W1_TX",1,"W1_TX",1,0
"36","W1_TX",1,"W4_VA",4,3.3349
"37","W1_TX",1,"YorkRiver",10,2.9877
"38","W1_TX",1,"S1_LOLA",5,3.753
"39","W1_TX",1,"W3_FL",3,2.3287
"40","W1_TX",1,"W5_NH",7,2.9046
"41","W2_LA",2,"W5_NH",7,2.999
"42","W2_LA",2,"W1_TX",1,2.5005
"43","W2_LA",2,"YorkRiver",10,2.4885
"44","W2_LA",2,"S1_LOLA",5,2.5474
"45","W2_LA",2,"W2_LA",2,0
"46","W2_LA",2,"S2_DEBY",6,2.5826
"47","W2_LA",2,"W4_VA",4,2.3649
"48","W2_LA",2,"W3_FL",3,3.5638
"49","W2_LA",2,"W6_ME",8,5.1381
"50","W2_LA",2,"Lewisetta",9,2.3386
"51","W3_FL",3,"W1_TX",1,2.3287
"52","W3_FL",3,"Lewisetta",9,4.1111
"53","W3_FL",3,"W2_LA",2,3.5638
"54","W3_FL",3,"YorkRiver",10,3.05
"55","W3_FL",3,"S1_LOLA",5,4.2723
"56","W3_FL",3,"W4_VA",4,3.6689
"57","W3_FL",3,"W5_NH",7,3.6006
"58","W3_FL",3,"W6_ME",8,3.6459
"59","W3_FL",3,"S2_DEBY",6,3.2116
"60","W3_FL",3,"W3_FL",3,0
"61","W4_VA",4,"W3_FL",3,3.6689
"62","W4_VA",4,"W2_LA",2,2.3649
"63","W4_VA",4,"W5_NH",7,1.8909
"64","W4_VA",4,"S1_LOLA",5,0.6247
"65","W4_VA",4,"W4_VA",4,0
"66","W4_VA",4,"YorkRiver",10,0.755
"67","W4_VA",4,"Lewisetta",9,0.5053
"68","W4_VA",4,"W6_ME",8,3.8382
"69","W4_VA",4,"S2_DEBY",6,0.613
"70","W4_VA",4,"W1_TX",1,3.3349
"71","W5_NH",7,"YorkRiver",10,1.5757
"72","W5_NH",7,"W1_TX",1,2.9046
"73","W5_NH",7,"W2_LA",2,2.999
"74","W5_NH",7,"Lewisetta",9,2.1252
"75","W5_NH",7,"W4_VA",4,1.8909
"76","W5_NH",7,"S1_LOLA",5,2.0554
"77","W5_NH",7,"W3_FL",3,3.6006
"78","W5_NH",7,"S2_DEBY",6,1.6703
"79","W5_NH",7,"W5_NH",7,0
"80","W5_NH",7,"W6_ME",8,3.058
"81","W6_ME",8,"S2_DEBY",6,3.3076
"82","W6_ME",8,"W2_LA",2,5.1381
"83","W6_ME",8,"W4_VA",4,3.8382
"84","W6_ME",8,"W1_TX",1,4.6605
"85","W6_ME",8,"S1_LOLA",5,4.1976
"86","W6_ME",8,"Lewisetta",9,4.2396
"87","W6_ME",8,"YorkRiver",10,3.1855
"88","W6_ME",8,"W5_NH",7,3.058
"89","W6_ME",8,"W6_ME",8,0
"90","W6_ME",8,"W3_FL",3,3.6459
"91","YorkRiver",10,"W2_LA",2,2.4885
"92","YorkRiver",10,"S1_LOLA",5,1.3159
"93","YorkRiver",10,"W1_TX",1,2.9877
"94","YorkRiver",10,"W3_FL",3,3.05
"95","YorkRiver",10,"S2_DEBY",6,0.2361
"96","YorkRiver",10,"W4_VA",4,0.755
"97","YorkRiver",10,"W6_ME",8,3.1855
"98","YorkRiver",10,"W5_NH",7,1.5757
"99","YorkRiver",10,"Lewisetta",9,1.2384
"100","YorkRiver",10,"YorkRiver",10,0
